,avg_penalty,tot_penalty,tot_reward,tot_valid,exploration_rate,duration,_timestamp,max_reward,tot_duration,avg_valid,avg_reward,_step,_runtime,reward
0,1,1,42,2,0.8997300269991001,19.072400093078613,1589447694.77023,15,19.072400093078613,2.0,42.0,1,44.7370822429657,15
1,1,2,72,3,0.8995500899910006,8.924412250518799,1589447709.914837,15,27.996812343597412,1.5,36.0,2,59.88168907165527,15
2,1,3,110,5,0.8992802519496065,15.14164400100708,1589447749.184704,15,43.13845634460449,1.6666666666666667,36.666666666666664,3,99.15155625343323,15
3,1,4,179,11,0.8986509445906232,39.26751518249512,1589447791.795027,15,82.40597152709961,2.75,44.75,4,141.76187920570374,15
4,1,5,263,17,0.8980220776146586,42.60800504684448,1589447807.637954,15,125.01397657394409,3.4,52.6,5,157.60480618476868,15
5,1,6,299,19,0.8977526979311385,15.84060025215149,1589447823.6260889,15,140.85457682609558,3.1666666666666665,49.833333333333336,6,173.5929410457611,15
6,1,7,335,21,0.8974833990534424,15.985635757446289,1589447832.477097,15,156.84021258354187,3.0,47.857142857142854,7,182.4439492225647,15
7,1,8,365,22,0.8973039113484657,8.847525119781494,1589447870.189143,15,165.68773770332336,2.75,45.625,8,220.15599513053894,15
8,1,9,465,29,0.8965863194142395,37.709760904312134,1589447917.856041,15,203.3974986076355,3.2222222222222223,51.666666666666664,9,267.8228931427002,15
9,1,10,753,38,0.8956901364510974,47.664108991622925,1589447917.856041,49,251.06160759925842,3.8,75.3,10,267.8228931427002,49
